,project,class
61,19_jmca,com.soops.CEN4010.JMCA.JParser.TestJava
62,22_byuic,com.yahoo.platform.yui.compressor.ScriptOrFnScope
63,23_jwbf,net.sourceforge.jwbf.trac.actions.GetRevision
64,27_gangup,MapTilePane
65,2_a4j,net.kencochrane.a4j.beans.BrowseNode
66,35_corina,corina.gui.ElementsPanel
67,39_diffi,de.beiri22.stringincrementor.helper.IndexedString
68,43_lilith,de.huxhorn.lilith.consumers.AlarmSoundLoggingEventConsumer
69,43_lilith,de.huxhorn.lilith.data.logging.protobuf.LoggingEventWrapperProtobufDecoder
70,43_lilith,de.huxhorn.lilith.engine.AccessFileBufferFactory
71,43_lilith,de.huxhorn.lilith.swing.OpenPreviousDialog
72,44_summa,dk.statsbiblioteket.summa.common.rpc.ConnectionConsumer
73,46_nutzenportfolio,ch.bfh.egov.nutzenportfolio.action.DetailzieleAction
74,47_dvd-homevideo,Capture
75,56_jhandballmoves,visu.handball.moves.views.Field
76,61_noen,fi.vtt.noen.mfw.bundle.server.plugins.sac.SACPluginActivator
77,61_noen,fi.vtt.noen.testgen.observations.formatter.NoenFormatter
78,66_openjms,org.exolab.jms.selector.parser.SelectorLexer
79,66_openjms,org.exolab.jms.tools.admin.AdminInfo
80,66_openjms,org.exolab.jms.tranlog.ExternalXid
81,68_biblestudy,bible.util.DbConnectionBroker
82,69_lhamacaw,macaw.presentationLayer.MacawStateEditor
83,69_lhamacaw,macaw.presentationLayer.VariableLabelTableModel
84,75_openhre,com.browsersoft.openhre.hl7.impl.parser.HL7CheckerImpl
85,78_caloriecount,com.lts.caloriecount.ui.entry.EntryListView
86,78_caloriecount,com.lts.swing.contentpanel.CPMouseListener
87,78_caloriecount,com.lts.swing.table.JTableUtils
88,78_caloriecount,com.lts.util.scheduler.NewScheduler
89,7_sfmis,com.hf.sfm.util.DaoFactory
90,80_wheelwebtool,wheel.EngineImpl
91,80_wheelwebtool,wheel.util.ActionRegistry
92,84_ifx-framework,org.sourceforge.ifx.basetypes.IFXObject
93,88_jopenchart,de.progra.charting.render.PieChartRenderer
94,92_jcvi-javacommon,org.jcvi.jillion.assembly.consed.ace.DefaultAceAssembledRead
95,92_jcvi-javacommon,org.jcvi.jillion.core.residue.nt.DefaultNucleotideSequence
96,92_jcvi-javacommon,org.jcvi.jillion.fasta.pos.PositionFastaRecord
97,93_quickserver,org.quickserver.util.xmlreader.AccessConstraintConfig
98,96_heal,org.heal.module.metadata.CompleteMetadataBean
99,99_newzgrabber,Newzgrabber.Search
