101_netweaver	com.sap.managementconsole.soap.axis.sapcontrol.DirEntry
61_noen	fi.vtt.noen.mfw.bundle.server.plugins.sac.SACPluginActivator
61_noen	fi.vtt.noen.testgen.observations.formatter.NoenFormatter
66_openjms	org.exolab.jms.selector.parser.SelectorLexer
66_openjms	org.exolab.jms.tools.admin.AdminInfo
66_openjms	org.exolab.jms.tranlog.ExternalXid
68_biblestudy	bible.util.DbConnectionBroker
69_lhamacaw	macaw.presentationLayer.MacawStateEditor
69_lhamacaw	macaw.presentationLayer.VariableLabelTableModel
75_openhre	com.browsersoft.openhre.hl7.impl.parser.HL7CheckerImpl
78_caloriecount	com.lts.caloriecount.ui.entry.EntryListView
78_caloriecount	com.lts.swing.contentpanel.CPMouseListener
78_caloriecount	com.lts.swing.table.JTableUtils
78_caloriecount	com.lts.util.scheduler.NewScheduler
7_sfmis	com.hf.sfm.util.DaoFactory
80_wheelwebtool	wheel.EngineImpl
80_wheelwebtool	wheel.util.ActionRegistry
84_ifx-framework	org.sourceforge.ifx.basetypes.IFXObject
88_jopenchart	de.progra.charting.render.PieChartRenderer
92_jcvi-javacommon	org.jcvi.jillion.assembly.consed.ace.DefaultAceAssembledRead
92_jcvi-javacommon	org.jcvi.jillion.core.residue.nt.DefaultNucleotideSequence
92_jcvi-javacommon	org.jcvi.jillion.fasta.pos.PositionFastaRecord
93_quickserver	org.quickserver.util.xmlreader.AccessConstraintConfig
96_heal	org.heal.module.metadata.CompleteMetadataBean
99_newzgrabber	Newzgrabber.Search
